               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11851,             0.11698,            0.045534,             0.01286,            0.032509,            0.005039,           0.0010594,             0.10333,             0.10456,            0.040899,            0.003268,            0.003268,            0.070588
                   1,             0.10162,             0.13356,            0.029329,             0.37331,            0.025641,            0.013653,           0.0031179,            0.089653,             0.12531,             0.01692,           0.0064706,           0.0064706,            0.040458
                   2,            0.089479,             0.13108,            0.017296,             0.12416,            0.029457,            0.013494,           0.0039445,            0.098778,            0.094824,            0.014396,           0.0095412,           0.0095412,            0.010195
                   3,            0.092915,             0.12334,             0.01463,             0.54665,             0.16026,            0.095033,            0.023156,            0.087687,            0.082584,            0.012577,            0.009406,            0.009406,            0.009406
                   4,             0.08837,             0.12977,            0.012962,             0.46003,             0.18956,             0.10159,            0.016777,            0.086626,            0.089888,            0.011409,            0.009406,            0.009406,            0.009406
                   5,            0.082351,             0.13015,            0.011718,             0.66901,             0.16875,             0.16376,            0.043772,            0.073875,            0.085732,           0.0093268,            0.009208,            0.009208,            0.009208
                   6,            0.078202,             0.12761,            0.010835,             0.21281,             0.32353,             0.18686,            0.051551,            0.078241,            0.084687,           0.0094696,             0.00901,             0.00901,             0.00901
                   7,            0.074233,             0.12441,           0.0091549,             0.62399,             0.32402,             0.29261,             0.09544,            0.066336,            0.088676,           0.0070216,            0.008812,            0.008812,            0.008812
                   8,            0.071992,             0.13238,            0.008425,             0.39265,             0.63794,             0.53951,             0.12949,             0.06134,            0.089013,           0.0068104,            0.008614,            0.008614,            0.008614
                   9,            0.068926,             0.12641,           0.0068884,             0.38725,             0.67994,             0.49104,             0.12115,            0.066654,            0.087536,           0.0057195,            0.008416,            0.008416,            0.008416
                  10,            0.067321,              0.1297,           0.0062399,             0.47518,              0.7004,             0.64027,              0.2393,            0.058904,            0.092054,           0.0064871,            0.008218,            0.008218,            0.008218
                  11,            0.064127,             0.12517,           0.0056116,             0.59757,             0.60952,             0.58888,              0.2721,            0.051799,            0.087209,           0.0047896,             0.00802,             0.00802,             0.00802
                  12,            0.060282,             0.12119,           0.0052131,             0.54258,             0.73724,             0.70995,             0.31023,            0.054681,            0.086623,           0.0040426,            0.007822,            0.007822,            0.007822
                  13,            0.062121,             0.12693,           0.0044811,             0.65668,             0.50947,             0.49216,             0.27671,            0.048275,            0.089133,           0.0034804,            0.007624,            0.007624,            0.007624
                  14,            0.060244,             0.12245,           0.0042109,             0.67704,             0.66126,             0.70379,             0.36506,            0.050085,            0.086268,           0.0035165,            0.007426,            0.007426,            0.007426
                  15,            0.058654,             0.12824,           0.0039799,             0.65251,             0.79165,             0.78101,             0.39667,            0.050031,            0.084298,           0.0031823,            0.007228,            0.007228,            0.007228
                  16,            0.058966,             0.12206,           0.0037439,             0.71608,             0.77399,             0.78158,             0.40115,            0.048386,            0.085139,           0.0030408,             0.00703,             0.00703,             0.00703
                  17,            0.055246,             0.12162,           0.0039582,              0.7566,             0.85266,             0.85094,             0.45597,            0.046111,            0.084387,           0.0027847,            0.006832,            0.006832,            0.006832
                  18,            0.056538,             0.13071,           0.0032793,             0.75273,             0.76895,             0.82127,             0.32803,            0.053171,            0.086254,           0.0028712,            0.006634,            0.006634,            0.006634
                  19,            0.056478,             0.12602,           0.0031534,             0.79199,             0.82119,             0.85842,             0.45366,            0.046279,            0.083002,           0.0025272,            0.006436,            0.006436,            0.006436
                  20,            0.052823,             0.12026,           0.0032256,             0.70517,             0.78697,             0.81573,             0.42669,            0.045199,            0.083134,           0.0023515,            0.006238,            0.006238,            0.006238
                  21,            0.052573,             0.12304,           0.0031217,             0.73604,              0.8103,             0.79856,             0.38827,            0.048545,            0.082991,           0.0022519,             0.00604,             0.00604,             0.00604
                  22,             0.05214,             0.12267,           0.0029994,             0.82928,             0.81152,             0.84699,             0.44972,            0.044689,            0.082793,           0.0022045,            0.005842,            0.005842,            0.005842
                  23,            0.050631,             0.11949,           0.0028981,             0.85749,             0.85489,             0.89034,             0.47888,            0.045187,            0.081749,           0.0020204,            0.005644,            0.005644,            0.005644
                  24,            0.050902,             0.11782,           0.0028057,             0.71182,             0.79354,             0.78753,             0.39937,            0.046947,            0.090993,           0.0021406,            0.005446,            0.005446,            0.005446
                  25,            0.053829,             0.12068,           0.0028228,             0.79536,             0.86824,             0.89351,             0.49985,            0.045312,            0.081681,           0.0019486,            0.005248,            0.005248,            0.005248
                  26,            0.049811,             0.11719,           0.0027254,             0.77638,             0.89807,             0.88706,             0.54489,            0.044346,            0.083115,           0.0019841,             0.00505,             0.00505,             0.00505
                  27,            0.049705,             0.11854,           0.0027308,             0.83437,             0.88126,             0.90074,              0.5571,            0.041789,            0.081298,           0.0018969,            0.004852,            0.004852,            0.004852
                  28,            0.050309,             0.12068,           0.0025369,             0.81882,             0.84718,              0.8852,             0.54374,            0.040732,            0.082226,           0.0018961,            0.004654,            0.004654,            0.004654
                  29,            0.048348,             0.12522,           0.0025987,             0.83381,             0.84264,             0.88177,             0.53366,            0.044083,            0.084805,           0.0018697,            0.004456,            0.004456,            0.004456
                  30,            0.048956,             0.11653,           0.0024683,             0.80854,             0.88463,             0.88918,             0.53291,            0.041999,            0.081252,           0.0017598,            0.004258,            0.004258,            0.004258
                  31,            0.048381,             0.12073,           0.0024452,              0.8216,             0.86408,             0.88455,             0.53846,            0.043446,            0.081552,           0.0017493,             0.00406,             0.00406,             0.00406
                  32,            0.049165,             0.11664,           0.0024649,             0.86993,             0.82622,             0.89934,             0.55674,             0.04144,            0.080699,           0.0016595,            0.003862,            0.003862,            0.003862
                  33,            0.046744,             0.12097,           0.0025243,             0.84809,             0.83979,             0.89414,             0.56334,             0.03926,            0.081087,           0.0016826,            0.003664,            0.003664,            0.003664
                  34,            0.046033,             0.11612,           0.0023048,             0.87454,             0.80871,             0.89919,             0.55317,            0.040612,            0.081894,           0.0015954,            0.003466,            0.003466,            0.003466
                  35,            0.046034,             0.11892,           0.0022535,             0.85655,             0.84548,              0.9019,             0.57237,            0.039332,            0.080255,           0.0014831,            0.003268,            0.003268,            0.003268
                  36,            0.045513,             0.11484,           0.0020577,             0.84523,             0.83328,             0.90807,              0.5714,             0.04021,            0.081206,           0.0014765,             0.00307,             0.00307,             0.00307
                  37,            0.045746,             0.11684,           0.0020465,             0.87771,              0.8256,              0.8899,             0.58728,            0.038451,            0.080893,           0.0013946,            0.002872,            0.002872,            0.002872
                  38,             0.04577,             0.11995,           0.0019687,             0.84533,             0.87498,             0.90243,             0.56891,            0.038987,            0.081649,           0.0014493,            0.002674,            0.002674,            0.002674
                  39,            0.045689,             0.12046,           0.0019881,             0.84251,             0.87604,             0.90074,             0.58034,            0.038516,            0.079916,           0.0013388,            0.002476,            0.002476,            0.002476
                  40,            0.043793,             0.10892,           0.0019466,             0.82288,             0.91996,             0.91192,             0.59459,            0.038307,            0.079975,             0.00131,            0.002278,            0.002278,            0.002278
                  41,            0.045862,             0.12458,           0.0018595,             0.86483,              0.8811,             0.91434,             0.60659,            0.038383,            0.079665,           0.0012935,             0.00208,             0.00208,             0.00208
                  42,            0.045337,             0.12166,           0.0018159,             0.84783,             0.91116,             0.91636,             0.59999,            0.038149,            0.079744,           0.0012768,            0.001882,            0.001882,            0.001882
                  43,            0.044455,             0.11481,           0.0018936,             0.85219,             0.89233,             0.90473,             0.59868,            0.038214,            0.081087,           0.0012309,            0.001684,            0.001684,            0.001684
                  44,            0.044405,              0.1156,           0.0019508,             0.83039,             0.89691,             0.90418,             0.59593,            0.038269,            0.079273,            0.001255,            0.001486,            0.001486,            0.001486
                  45,             0.04484,             0.11926,           0.0017648,             0.82661,             0.88037,              0.9041,             0.59604,            0.038219,            0.078934,           0.0012589,            0.001288,            0.001288,            0.001288
                  46,            0.044763,             0.12124,           0.0018134,             0.84091,             0.88399,             0.90622,              0.5918,            0.038234,            0.079033,           0.0012157,             0.00109,             0.00109,             0.00109
                  47,            0.044565,             0.11795,           0.0018037,             0.83364,             0.89369,             0.90633,             0.59132,            0.038331,            0.079265,           0.0012393,            0.000892,            0.000892,            0.000892
                  48,            0.044049,             0.11824,           0.0017328,             0.83406,             0.89803,             0.90748,             0.60277,            0.038167,            0.079186,           0.0012021,            0.000694,            0.000694,            0.000694
                  49,            0.043753,             0.11603,           0.0017189,             0.83316,             0.89475,              0.9022,             0.59922,            0.038001,            0.079048,           0.0012076,            0.000496,            0.000496,            0.000496
