               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10958,             0.14086,             0.03811,            0.030795,            0.039937,            0.012959,           0.0029601,            0.096619,             0.10073,             0.03141,            0.003268,            0.003268,            0.070588
                   1,            0.090791,             0.13873,            0.025949,            0.044688,            0.086793,            0.019142,           0.0066061,            0.088566,             0.12916,            0.014747,           0.0064706,           0.0064706,            0.040458
                   2,            0.085057,             0.13461,            0.016262,             0.47817,             0.16622,            0.087819,            0.020542,            0.083496,            0.098629,            0.012418,           0.0095412,           0.0095412,            0.010195
                   3,            0.091147,             0.13185,             0.01394,             0.34485,              0.1785,             0.10064,            0.028983,            0.091759,             0.10005,            0.010806,            0.009406,            0.009406,            0.009406
                   4,            0.083346,             0.13559,            0.012071,             0.36172,             0.18921,             0.17545,            0.043119,            0.073772,             0.09886,            0.009172,            0.009406,            0.009406,            0.009406
                   5,            0.072941,             0.13573,            0.011043,              0.2478,             0.52271,             0.29339,            0.065344,              0.0627,            0.091495,           0.0079484,            0.009208,            0.009208,            0.009208
                   6,            0.064915,             0.14185,           0.0093672,             0.58738,             0.35377,             0.37209,             0.14096,            0.059373,            0.094284,            0.005773,             0.00901,             0.00901,             0.00901
                   7,            0.065229,             0.13322,           0.0076701,             0.33345,             0.51097,             0.37775,             0.17336,            0.050424,            0.090579,           0.0048674,            0.008812,            0.008812,            0.008812
                   8,             0.05921,              0.1306,           0.0062585,             0.47646,             0.66211,             0.62385,             0.19649,            0.055564,            0.086489,           0.0047513,            0.008614,            0.008614,            0.008614
                   9,            0.057803,             0.13246,           0.0055045,             0.41781,             0.64352,              0.5122,             0.21369,              0.0498,            0.091527,           0.0040689,            0.008416,            0.008416,            0.008416
                  10,            0.052825,             0.13533,           0.0046201,             0.55308,             0.75343,             0.73653,             0.34646,            0.042863,            0.090635,           0.0038179,            0.008218,            0.008218,            0.008218
